MUNICIPIO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
    Matanzas,154149,153398,153504,154857,156952,158999,160629,162426,163568,163496,162964,163631
    Cárdenas,140012,142369,145997,147419,149381,151960,154204,156293,158112,158857,158080,158322
    Martí,22343,22361,22662,22617,22507,22425,22236,22034,21933,21829,21652,21582
    Colón,70508,72000,70484,70606,70350,70161,69881,69577,69277,69037,68403,68021
    Perico,30965,30847,31156,31148,31042,30914,30774,30605,30414,30299,29907,29746
    Jovellanos,59254,59146,57854,58103,58175,58173,58123,58060,58031,57880,57381,57216
    Pedro Betancourt,31963,30934,31458,31422,31281,31067,30824,30598,30363,30173,29838,29565
    Limonar,26397,26989,26490,26554,26635,26645,26756,26704,26778,26818,26633,26708
    Unión de Reyes,36599,38037,36931,36901,36751,36560,36413,36068,35846,35704,35251,35021
    Ciénaga de Zapata,9589,9210,9271,9375,9502,9755,9968,10131,10319,10439,10394,10394
    Jagüey Grande,61341,59581,60038,60158,60284,60431,60391,60428,60438,60324,59736,59600
    Calimete,28658,28119,28746,28713,28499,28343,28100,27984,27880,27781,27493,27210
    Los Arabos,24750,24323,24624,24604,24416,24274,24119,23935,23801,23683,23336,23111
