,Unnamed: 0,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,  Pinar del Río,86,136,110,54,108,125,125,131,129,51,39,101
1,  Artemisa,87,107,122,61,118,111,122,131,112,55,43,129
2,  La Habana,459,498,463,313,433,722,562,528,523,239,187,345
3,  Mayabeque,256,374,319,192,333,410,377,370,367,227,169,314
4,  Villa Clara,785,896,691,474,710,823,810,858,789,333,226,599
5,  Cienfuegos,293,311,244,163,272,304,260,289,277,160,97,227
6,  Sancti Spíritus,190,241,217,118,267,248,277,244,226,107,59,200
7,Ciego de Ávila,195,246,172,152,206,219,237,218,190,117,66,182
8,  Camagüey,496,576,438,273,524,553,544,514,450,244,128,306
9,  Las Tunas,281,345,271,173,351,372,364,399,331,252,68,220
10,  Holguín,668,727,591,409,762,843,711,665,626,325,144,445
11,  Granma,877,1088,856,628,1102,1188,1138,1007,1008,511,187,574
12,  Santiago de Cuba,1026,1167,525,551,1119,1195,1108,881,919,446,193,663
13,  Guantánamo,567,682,531,422,714,709,764,708,664,249,135,435
14,  Isla de la Juventud,78,82,62,24,89,69,84,67,60,10,15,40
